SEASONAL,SALES TYPE,BUSINESS_DATE,STORE_ID,YEAR,MONTH,DAYOFWEEK,DAY_PART,TICKET_NUM,SALES_AMOUNT,HOP_OUT_TIME,AVE_SALE_PER_ORDER,AVE_SALE_PER_SERVICE_MINUTE
Cold Season,Drive Through Window,2015-11-03 00:00:00,4818,2015,11,02-Tuesday,01-Breakfast,94,520.1100000000002,2.6148936170212775,5.533085106382981,2.1159886086248987
Cold Season,Drive Through Window,2015-11-03 00:00:00,4818,2015,11,02-Tuesday,02-Lunch,127,939.9000000000002,3.079370078740159,7.400787401574805,2.4033445842282903
Cold Season,Drive Through Window,2015-11-03 00:00:00,4818,2015,11,02-Tuesday,03-Snack,57,320.65,2.419122807017544,5.625438596491228,2.3254043077815645
Cold Season,Drive Through Window,2015-11-03 00:00:00,4818,2015,11,02-Tuesday,04-Dinner,105,923.4800000000005,2.715619047619047,8.795047619047624,3.238689766430528
Cold Season,Drive Through Window,2015-11-03 00:00:00,4818,2015,11,02-Tuesday,05-Late Night Snack,35,245.18,2.436857142857143,7.005142857142857,2.8746629147614025
Cold Season,Drive Through Window,2015-11-04 00:00:00,4818,2015,11,03-Wednesday,01-Breakfast,97,421.1299999999998,2.63340206185567,4.341546391752575,1.6486454744754142
Cold Season,Drive Through Window,2015-11-04 00:00:00,4818,2015,11,03-Wednesday,02-Lunch,115,732.2100000000003,4.107739130434783,6.367043478260872,1.5500116429221622
Cold Season,Drive Through Window,2015-11-04 00:00:00,4818,2015,11,03-Wednesday,03-Snack,51,450.8799999999999,4.038235294117647,8.840784313725488,2.1892692401068214
Cold Season,Drive Through Window,2015-11-04 00:00:00,4818,2015,11,03-Wednesday,04-Dinner,94,814.0799999999998,3.4144680851063836,8.66042553191489,2.5363908275174465
Cold Season,Drive Through Window,2015-11-04 00:00:00,4818,2015,11,03-Wednesday,05-Late Night Snack,35,329.15999999999997,4.108285714285714,9.404571428571428,2.2891717087419154
Cold Season,Drive Through Window,2015-11-05 00:00:00,4818,2015,11,04-Thursday,01-Breakfast,93,556.2400000000002,2.8382795698924737,5.981075268817206,2.10728898317927
Cold Season,Drive Through Window,2015-11-05 00:00:00,4818,2015,11,04-Thursday,02-Lunch,117,793.7500000000001,2.771538461538463,6.784188034188035,2.447805840811668
Cold Season,Drive Through Window,2015-11-05 00:00:00,4818,2015,11,04-Thursday,03-Snack,49,311.34,2.248571428571428,6.353877551020408,2.8257396986748957
Cold Season,Drive Through Window,2015-11-05 00:00:00,4818,2015,11,04-Thursday,04-Dinner,87,739.3999999999997,3.141149425287357,8.498850574712641,2.70564988290398
Cold Season,Drive Through Window,2015-11-05 00:00:00,4818,2015,11,04-Thursday,05-Late Night Snack,34,259.65999999999997,3.6535294117647052,7.637058823529411,2.090323619384962
Cold Season,Drive Through Window,2015-11-06 00:00:00,4818,2015,11,05-Friday,01-Breakfast,100,556.69,2.7018999999999993,5.5669,2.0603649283837306
Cold Season,Drive Through Window,2015-11-06 00:00:00,4818,2015,11,05-Friday,02-Lunch,129,921.0800000000003,2.788062015503876,7.140155038759692,2.5609742534616036
Cold Season,Drive Through Window,2015-11-06 00:00:00,4818,2015,11,05-Friday,03-Snack,42,298.42999999999995,2.6816666666666658,7.105476190476189,2.6496492941489835
Cold Season,Drive Through Window,2015-11-06 00:00:00,4818,2015,11,05-Friday,04-Dinner,96,1000.96,3.157083333333334,10.426666666666668,3.3026263692754387
Cold Season,Drive Through Window,2015-11-06 00:00:00,4818,2015,11,05-Friday,05-Late Night Snack,51,432.62,3.0347058823529416,8.482745098039215,2.7952445564385857
Cold Season,Drive Through Window,2015-11-07 00:00:00,4818,2015,11,06-Saturday,01-Breakfast,83,535.54,3.204819277108433,6.452289156626506,2.013308270676692
Cold Season,Drive Through Window,2015-11-07 00:00:00,4818,2015,11,06-Saturday,02-Lunch,133,1024.6000000000006,3.5805263157894758,7.703759398496245,2.151571785556792
Cold Season,Drive Through Window,2015-11-07 00:00:00,4818,2015,11,06-Saturday,03-Snack,62,388.00999999999993,3.0309677419354832,6.258225806451612,2.064761600681141
Cold Season,Drive Through Window,2015-11-07 00:00:00,4818,2015,11,06-Saturday,04-Dinner,107,930.3500000000003,3.336635514018691,8.694859813084115,2.6058764214889933
Cold Season,Drive Through Window,2015-11-07 00:00:00,4818,2015,11,06-Saturday,05-Late Night Snack,40,360.9699999999999,3.8294999999999995,9.024249999999999,2.356508682595639
Cold Season,Drive Through Window,2015-11-08 00:00:00,4818,2015,11,07-Sunday,01-Breakfast,62,460.96000000000004,2.853064516129033,7.43483870967742,2.605913279439199
Cold Season,Drive Through Window,2015-11-08 00:00:00,4818,2015,11,07-Sunday,02-Lunch,135,1270.7,2.887037037037038,9.412592592592594,3.260295060936497
